replicate,treatment,day,time,scan,sex,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,open,Total
1,low,5,1100,3,male,0,2,0,0,0,0,1,3,0,4,1,1,0,12
1,low,5,1100,3,female,0,0,0,0,1,0,0,0,0,4,2,2,2,11
1,low,5,1100,3,both,0,2,0,0,1,0,1,3,0,8,3,3,2,23
1,low,5,1200,4,male,0,1,0,0,0,0,1,4,0,4,1,1,0,12
1,low,5,1200,4,female,0,0,0,0,1,0,0,0,0,3,1,2,4,11
1,low,5,1200,4,both,0,1,0,0,1,0,1,4,0,7,2,3,4,23
1,low,5,1300,5,male,1,1,0,0,0,0,2,1,0,3,1,1,2,12
1,low,5,1300,5,female,0,0,0,0,1,0,0,0,0,2,1,2,5,11
1,low,5,1300,5,both,1,1,0,0,1,0,2,1,0,5,2,3,7,23
1,low,5,1400,6,male,2,1,0,0,0,0,3,1,0,1,1,1,2,12
1,low,5,1400,6,female,0,1,0,0,1,0,0,0,1,2,1,1,4,11
1,low,5,1400,6,both,2,2,0,0,1,0,3,1,1,3,2,2,6,23
1,low,5,1500,7,male,2,1,0,0,1,0,1,1,0,2,1,2,1,12
1,low,5,1500,7,female,0,0,0,0,1,1,1,0,0,2,3,2,1,11
1,low,5,1500,7,both,2,1,0,0,2,1,2,1,0,4,4,4,2,23
1,low,5,1600,8,male,2,1,1,0,0,0,2,1,0,3,1,1,0,12
1,low,5,1600,8,female,0,0,1,0,0,0,1,1,0,3,2,2,1,11
1,low,5,1600,8,both,2,1,2,0,0,0,3,2,0,6,3,3,1,23
1,low,5,1700,9,male,1,1,0,0,0,0,2,1,0,4,1,1,1,12
1,low,5,1700,9,female,0,1,1,0,0,0,1,0,1,3,2,2,0,11
1,low,5,1700,9,both,1,2,1,0,0,0,3,1,1,7,3,3,1,23
1,low,6,900,1,male,2,0,0,0,0,0,2,1,0,4,1,2,0,12
1,low,6,900,1,female,0,0,1,0,0,0,2,0,0,4,2,2,0,11
1,low,6,900,1,both,2,0,1,0,0,0,4,1,0,8,3,4,0,23
1,low,6,1000,2,male,2,0,0,0,0,0,2,1,0,4,1,2,0,12
1,low,6,1000,2,female,0,0,1,0,0,0,1,0,0,4,2,2,1,11
1,low,6,1000,2,both,2,0,1,0,0,0,3,1,0,8,3,4,1,23
1,low,6,1100,3,male,2,0,0,0,0,0,2,1,0,4,1,2,0,12
1,low,6,1100,3,female,0,1,1,0,0,0,1,0,0,4,2,2,0,11
1,low,6,1100,3,both,2,1,1,0,0,0,3,1,0,8,3,4,0,23
1,low,6,1200,4,male,2,0,0,0,0,0,2,1,0,4,1,2,0,12
1,low,6,1200,4,female,0,1,0,0,0,0,1,0,0,4,2,2,1,11
1,low,6,1200,4,both,2,1,0,0,0,0,3,1,0,8,3,4,1,23
1,low,6,1300,5,male,2,0,0,0,0,0,2,1,0,3,2,2,0,12
1,low,6,1300,5,female,0,0,0,0,0,0,1,0,0,4,2,1,3,11
1,low,6,1300,5,both,2,0,0,0,0,0,3,1,0,7,4,3,3,23
1,low,6,1400,6,male,2,0,0,0,0,0,2,1,0,3,2,2,0,12
1,low,6,1400,6,female,0,0,0,1,0,0,1,0,0,4,2,1,2,11
1,low,6,1400,6,both,2,0,0,1,0,0,3,1,0,7,4,3,2,23
1,low,6,1500,7,male,2,0,0,0,0,0,2,1,0,4,1,2,0,12
1,low,6,1500,7,female,0,0,1,0,0,0,1,1,0,5,3,0,0,11
1,low,6,1500,7,both,2,0,1,0,0,0,3,2,0,9,4,2,0,23
1,low,6,1600,8,male,2,0,0,0,0,0,2,1,0,4,1,2,0,12
1,low,6,1600,8,female,0,1,0,0,0,0,2,0,0,6,2,0,0,11
1,low,6,1600,8,both,2,1,0,0,0,0,4,1,0,10,3,2,0,23
1,low,6,1700,9,male,2,0,0,0,0,0,2,1,0,4,1,2,0,12
1,low,6,1700,9,female,0,1,0,0,0,0,1,0,0,6,2,0,1,11
1,low,6,1700,9,both,2,1,0,0,0,0,3,1,0,10,3,2,1,23
